45000 1 10000
item1          4736 4397
item2          6070 7530
item3          1090 6887
item4          2177 12763
item5          2187 4314
item6          1231 153
item7          6670 1069
item8          3819 2054
item9          2116 7651
item10          7276 3253
item11          2915 14630
item12          4261 8430
item13          6341 7599
item14          4963 8946
item15          648 9060
item16          2066 8942
item17          4031 1595
item18          5916 11623
item19          2742 7938
item20          2895 5924
item21          6357 4247
item22          1869 234
item23          7495 45
item24          160 9568
item25          2469 3927
item26          1682 2128
item27          2955 5312
item28          733 13874
item29          6837 11504
item30          2797 14989
item31          3854 6406
item32          3314 14275
item33          2148 6959
item34          775 953
item35          2146 14364
item36          2129 5848
item37          5943 4698
item38          6216 10692
item39          1496 8180
item40          4697 10941
item41          4436 10002
item42          1689 8767
item43          1117 8214
item44          4783 127
item45          6367 8693
item46          6950 10280
item47          1818 2969
item48          4095 2630
item49          721 1818
item50          5201 3151
item51          2831 484
item52          1460 1002
item53          7112 8707
item54          3822 11772
item55          1014 4520
item56          6318 8878
item57          3945 10783
item58          3755 336
item59          2849 266
item60          6818 6973
item61          1007 5764
item62          106 3615
item63          6096 5346
item64          1190 4183
item65          6342 3331
item66          2782 12828
item67          4286 13845
item68          3017 704
item69          108 4944
item70          3202 9992
item71          2423 6440
item72          2305 702
item73          4788 5238
item74          3948 9037
item75          1531 11049
item76          6921 14503
item77          1067 1538
item78          4617 4926
item79          5198 4658
item80          5999 4379
item81          7009 12561
item82          2846 9135
item83          6689 8737
item84          4707 13229
item85          557 5313
item86          6709 1550
item87          5715 3387
item88          3053 5415
item89          2196 2884
item90          3831 7050
item91          5583 10418
item92          2073 1411
item93          34 11416
item94          2379 6942
item95          4811 4089
item96          4463 4794
item97          6869 2503
item98          1811 3498
item99          4484 10149
item100          660 8837
item101          7494 11944
item102          4007 9970
item103          6651 13623
item104          3518 7034
item105          2308 10549
item106          3675 3847
item107          2170 5938
item108          1229 8621
item109          3049 7885
item110          3034 3311
item111          571 12064
item112          3635 7527
item113          1513 5792
item114          1910 2326
item115          6108 7334
item116          4596 1179
item117          5908 2039
item118          6329 488
item119          1378 7436
item120          3583 12147
item121          7193 4209
item122          333 2456
item123          4415 791
item124          601 11151
item125          4726 1460
item126          3234 11504
item127          883 14553
item128          7327 14041
item129          3916 9683
item130          7085 2719
item131          5221 9180
item132          3530 10479
item133          3675 10316
item134          1957 8712
item135          3694 12933
item136          183 12801
item137          2988 12910
item138          7368 10381
item139          5113 569
item140          4556 14825
item141          3960 9590
item142          1821 9390
item143          7304 2006
item144          5829 3869
item145          6150 12511
item146          3523 4901
item147          536 5122
item148          4350 4619
item149          429 4332
item150          2410 9623
item151          2287 7837
item152          3499 12733
item153          1320 2731
item154          4904 3136
item155          6610 7822
item156          6617 8032
item157          5625 1021
item158          1044 5284
item159          7431 3178
item160          2311 1949
item161          6693 7844
item162          110 10839
item163          4538 9629
item164          5643 14274
item165          5818 5981
item166          7337 859
item167          5565 3810
item168          7183 7581
item169          1308 1524
item170          6701 12361
item171          7051 1434
item172          5973 5179
item173          1569 2161
item174          1182 8478
item175          290 10013
item176          5682 5243
item177          881 11531
item178          3344 7345
item179          5891 13640
item180          45 12328
item181          2123 5456
item182          282 434
item183          1403 11418
item184          5249 1079
item185          4688 14572
item186          6926 2973
item187          2801 1875
item188          4260 8828
item189          6259 11260
item190          1236 10026
item191          6903 13404
item192          5226 4452
item193          7064 7319
item194          7271 5315
item195          3323 14106
item196          1796 10499
item197          3981 3223
item198          5375 13292
item199          7088 10747
item200          5580 6232
item201          4328 6924
item202          1770 364
item203          7335 4510
item204          2732 7588
item205          1610 4078
item206          527 2248
item207          5749 13713
item208          1735 7713
item209          951 10370
item210          5412 793
item211          3110 8654
item212          4702 12077
item213          4741 3964
item214          2679 5936
item215          4195 5365
item216          7461 9308
item217          3052 13513
item218          3099 3402
item219          1244 1031
item220          7228 12273
item221          1382 13694
item222          6254 14353
item223          766 5351
item224          5214 7990
item225          3022 284
item226          37 13470
item227          2886 2897
item228          441 7341
item229          2508 7621
item230          4253 5762
item231          3568 7928
item232          785 2328
item233          976 9075
item234          4497 721
item235          1066 9406
item236          3638 4586
item237          7350 6472
item238          7093 6803
item239          4596 6070
item240          6797 680
item241          6739 13789
item242          6155 9312
item243          6887 1092
item244          2265 7320
item245          400 626
item246          3936 7602
item247          2779 4969
item248          4332 9379
item249          728 4974
item250          1952 5911
item251          2079 11540
item252          3519 2305
item253          2609 3866
item254          262 12249
item255          1553 10823
item256          2198 8969
item257          4756 12882
item258          5136 12899
item259          2266 6208
item260          6493 11179
item261          3843 4229
item262          5495 3149
item263          3632 8795
item264          3167 5073
item265          3573 10820
item266          1812 13370
item267          2112 14810
item268          5143 9226
item269          1475 3614
item270          7016 6096
item271          889 11233
item272          4210 7176
item273          3462 9922
item274          3229 1138
item275          4384 10642
item276          4342 8299
item277          7181 12965
item278          6733 14396
item279          4794 4032
item280          2566 14939
item281          3490 3468
item282          900 11171
item283          4294 5493
item284          55 729
item285          1685 11779
item286          1648 2767
item287          2499 1864
item288          1957 2242
item289          5608 8122
item290          2162 10810
item291          5741 13167
item292          1661 5804
item293          7324 12095
item294          2076 2685
item295          4340 7225
item296          6179 10269
item297          4563 1219
item298          1453 11873
item299          1143 7404
item300          2140 11803
item301          603 5529
item302          1453 12932
item303          2632 6674
item304          6581 13221
item305          3509 3581
item306          1999 1130
item307          3856 582
item308          6566 12141
item309          4194 1952
item310          1264 8578
item311          4947 14204
item312          3166 3117
item313          6436 2699
item314          742 9007
item315          2350 4681
item316          7462 5701
item317          1181 4931
item318          239 14627
item319          2185 5947
item320          1106 3979
item321          3160 5003
item322          1312 5551
item323          2742 7478
item324          2273 14281
item325          622 3140
item326          1283 11459
item327          6566 4155
item328          2020 9760
item329          5584 5997
item330          5343 6027
item331          6299 10716
item332          6509 7811
item333          2172 5968
item334          178 12155
item335          2618 7435
item336          2002 3348
item337          1178 1264
item338          1908 6354
item339          873 656
item340          369 13732
item341          4197 14942
item342          2040 12676
item343          6568 14681
item344          5919 13020
item345          1978 541
item346          2782 10059
item347          3080 10748
item348          7219 11452
item349          230 9389
item350          2276 7521
item351          6658 12525
item352          7104 13089
item353          2737 6233
item354          5999 6655
item355          257 4828
item356          2034 13414
item357          5970 12333
item358          5280 1571
item359          5139 5814
item360          7243 12574
item361          1699 10233
item362          2773 12588
item363          3604 12922
item364          515 11246
item365          6514 14367
item366          204 9183
item367          6875 9855
item368          5410 5603
item369          7425 579
item370          2877 9253
item371          4471 14850
item372          4412 1522
