300000 1 50000
item1          31518 90103
item2          3692 73193
item3          32981 32075
item4          1140 3774
item5          25706 90901
item6          1107 87079
item7          31815 82500
item8          6 33791
item9          23260 19416
item10          14719 48082
item11          17789 71187
item12          26423 33907
item13          189 19978
item14          6739 38820
item15          47884 60926
item16          35796 80402
item17          12551 46270
item18          48820 58419
item19          46939 42187
item20          11639 2692
item21          20684 95587
item22          48336 16369
item23          43963 97299
item24          41725 47675
item25          44905 76663
item26          19592 7585
item27          8828 97758
item28          44257 52256
item29          48564 32728
item30          33687 297
item31          18342 24243
item32          35401 67508
item33          30504 3175
item34          18147 70027
item35          25103 62751
item36          12018 75028
item37          4833 84885
item38          31980 89648
item39          42595 87991
item40          6365 5187
item41          29604 94097
item42          19734 28011
item43          13621 66827
item44          9845 14142
item45          3135 75029
item46          32675 14659
item47          3229 21766
item48          38256 86179
item49          23836 83576
item50          49696 79757
item51          17434 74112
item52          18295 44937
item53          42788 45004
item54          21511 83648
item55          26073 1664
item56          26141 41251
item57          20217 56667
item58          39430 46140
item59          17450 35947
item60          17301 2797
item61          49902 88456
item62          3968 29360
item63          29282 35187
item64          37835 89144
item65          35232 40663
item66          3553 64605
item67          26896 9285
item68          27125 87395
item69          3928 19478
item70          49267 33852
item71          10460 77552
item72          25306 36794
item73          34590 49566
item74          43342 12358
item75          39838 37651
item76          11029 74865
item77          38993 14438
item78          27541 72908
item79          33247 75951
item80          39623 37885
item81          25324 26601
item82          30978 4467
item83          20240 9794
item84          46105 91023
item85          8018 9788
item86          45592 20111
item87          10352 43635
item88          5820 44516
item89          33799 13475
item90          40380 34954
item91          8201 74585
item92          10084 54616
item93          43079 53663
item94          27820 39914
item95          44614 6335
item96          4195 9494
item97          35977 84803
item98          6287 92484
item99          48388 87679
item100          41058 34822
item101          14362 56882
item102          28022 6107
item103          12825 39559
item104          46924 39467
item105          16606 90474
item106          19459 66158
item107          19001 2982
item108          17450 33291
item109          25994 9088
item110          27736 89031
item111          33173 58455
item112          1248 88322
item113          10392 94441
item114          33751 92184
item115          3962 62639
item116          1839 5358
item117          21841 37705
item118          948 54399
item119          47330 64750
item120          7149 64285
item121          8709 51402
item122          13659 32655
item123          12789 23086
item124          46497 1286
item125          686 58761
item126          4520 64503
item127          2173 80357
item128          27524 69559
item129          38629 3408
item130          19951 15372
item131          942 20734
item132          36751 64028
item133          18704 83200
item134          22668 82360
item135          8427 55493
item136          2666 13889
item137          16493 77687
item138          6109 88755
item139          42395 62314
item140          10898 98881
item141          19609 57147
item142          39136 52886
item143          44755 61722
item144          26326 22189
item145          43919 33034
item146          26898 63104
item147          25929 29390
item148          35504 32333
item149          3868 80596
item150          3120 73203
item151          7455 92293
item152          45506 55824
item153          28793 96353
item154          20667 29421
item155          31595 11473
item156          31729 69069
item157          239 81638
item158          3650 58260
item159          21592 71283
item160          8142 99743
item161          17801 55900
item162          24612 64273
item163          17936 43223
item164          21379 1604
item165          7975 97163
item166          26412 22773
item167          30252 20849
item168          3911 23463
item169          40558 54137
item170          13915 20818
item171          3540 17838
item172          48444 93075
item173          9605 51199
item174          31623 7497
item175          36812 58501
item176          12255 74577
item177          32225 9529
item178          13861 20908
item179          16581 86654
item180          34724 1731
item181          18944 67756
item182          9418 87538
item183          24821 82818
item184          39528 75589
item185          13918 98657
item186          32771 80479
item187          2850 31301
item188          46007 84316
item189          17970 67058
item190          24261 84254
item191          17114 18170
item192          36462 45544
item193          7922 13908
item194          18554 81819
item195          12209 58083
item196          32273 84107
item197          27487 70429
item198          15976 91504
item199          47215 96048
item200          33772 54456
item201          40948 90926
item202          39394 10857
item203          27884 38117
item204          13516 24085
item205          27528 89667
item206          35374 93036
item207          32774 83419
item208          7785 84568
item209          8694 35152
item210          21704 33226
item211          41026 85235
item212          37972 27700
item213          30316 94118
item214          766 11168
item215          13988 44607
item216          10214 64128
item217          27857 32687
item218          15525 36376
item219          19461 27225
item220          15787 65903
item221          37232 17214
item222          15485 21232
item223          32447 45795
item224          30871 95146
item225          46195 17130
item226          41249 66480
item227          11946 50849
item228          62 324
item229          20320 20008
item230          10964 63033
item231          30870 92656
item232          26927 67777
item233          46851 60953
item234          13911 4128
item235          43762 8302
item236          1812 12351
item237          32655 26012
