150000 1 25000
item1          7672 6743
item2          12934 28370
item3          12941 36453
item4          6320 4478
item5          1850 46797
item6          16568 39386
item7          16198 1659
item8          23617 1131
item9          14380 35868
item10          20167 5171
item11          15750 34147
item12          23539 3234
item13          15094 28381
item14          24215 1195
item15          18664 13244
item16          21166 49555
item17          14280 49856
item18          3602 12514
item19          13403 44966
item20          3470 11203
item21          24776 312
item22          4068 22895
item23          11365 49139
item24          1954 49092
item25          21571 37065
item26          18471 21091
item27          15276 48990
item28          220 2741
item29          2032 36709
item30          10566 14687
item31          21598 26238
item32          7497 25478
item33          9982 9172
item34          9382 37518
item35          13279 21012
item36          15309 35535
item37          22343 36795
item38          1780 49909
item39          24028 48409
item40          10780 14065
item41          7102 12569
item42          11225 45739
item43          4266 30349
item44          16493 17234
item45          19767 38717
item46          6372 15250
item47          10114 29269
item48          15496 39861
item49          9970 33750
item50          17176 48034
item51          13248 30494
item52          10614 10059
item53          20209 14227
item54          2800 43188
item55          21560 17420
item56          24558 5039
item57          20981 11919
item58          23359 6689
item59          9388 39749
item60          21641 17513
item61          7922 41703
item62          8844 40770
item63          10668 41746
item64          22332 41134
item65          22772 5514
item66          19391 17295
item67          12099 16176
item68          14047 48390
item69          2955 30068
item70          15198 49405
item71          21277 41121
item72          17419 8117
item73          1496 18028
item74          18073 24242
item75          7551 6815
item76          22674 41246
item77          821 16394
item78          7734 34802
item79          15874 29133
item80          8025 704
item81          14814 37173
item82          20017 14064
item83          9378 11569
item84          6480 4902
item85          20245 19376
item86          16075 26118
item87          16807 46438
item88          22417 3113
item89          20906 31612
item90          16110 43375
item91          290 36016
item92          22082 5829
item93          10448 6004
item94          16934 2883
item95          19691 11481
item96          14897 29759
item97          2771 35376
item98          21512 4591
item99          724 8094
item100          12866 2118
item101          5336 20106
item102          16850 19516
item103          18914 49254
item104          14191 4186
item105          22565 46703
item106          5807 22848
item107          5266 21765
item108          6207 2176
item109          19129 23191
item110          6734 48476
item111          8610 17950
item112          3909 8008
item113          5506 2717
item114          13143 46418
item115          4912 28932
item116          4781 22929
item117          15546 3166
item118          13013 5772
item119          6537 30691
item120          20888 34496
item121          19599 9371
item122          6715 38344
item123          2087 41029
item124          17909 13391
item125          22464 24243
item126          5248 26561
item127          14401 35264
item128          16306 40862
item129          18238 14191
item130          1763 27874
item131          7172 30218
item132          13279 22095
item133          17278 41143
item134          24924 44488
item135          19586 21967
item136          24198 26965
item137          18159 29333
item138          21590 45939
item139          12722 28350
item140          21051 13124
item141          15943 13172
item142          11794 15366
item143          2947 13391
item144          12548 31807
item145          7197 40988
item146          8279 13341
item147          15367 31104
item148          6430 130
item149          17048 32204
item150          14426 39353
item151          9717 45130
item152          23602 21850
item153          16368 47161
item154          20161 39391
item155          5782 17767
item156          24281 29207
item157          10972 2838
item158          16304 29159
item159          12458 35361
item160          10157 19409
item161          6960 18936
item162          11047 33190
item163          10652 11571
item164          1208 13484
item165          12067 12661
item166          2440 34290
item167          21963 32581
item168          17887 44640
item169          12759 24581
item170          3565 41157
item171          4956 30948
item172          4323 810
item173          14121 13390
item174          6647 22591
item175          13996 14524
item176          24801 43313
item177          133 28082
item178          5909 36914
item179          21900 45510
item180          21465 9904
item181          9582 18313
item182          8846 6205
item183          16073 46080
item184          3118 40357
item185          16369 971
item186          15958 34042
item187          10411 32233
item188          6830 43432
item189          15279 26722
item190          24607 39279
item191          12401 21918
item192          12543 7882
item193          9661 26527
item194          4505 503
item195          47 11143
item196          9823 46891
item197          7118 30243
item198          8734 44250
item199          1080 10726
item200          15122 21167
item201          24982 1742
item202          7300 12755
item203          7043 39472
item204          23041 44648
item205          9550 42054
item206          13948 1954
item207          16319 4890
item208          15321 4607
item209          16735 48593
item210          4682 226
item211          10762 3710
item212          1968 49143
item213          5582 47006
item214          7736 24667
item215          4125 48424
item216          23055 31018
item217          9519 34135
item218          6455 36718
item219          17094 45386
item220          4890 20875
item221          5284 31131
item222          22569 37245
item223          22679 49643
item224          24904 12988
item225          12170 21053
item226          15526 24673
item227          10686 9527
item228          12586 11886
item229          10509 24264
item230          16091 29549
item231          11494 43338
item232          7847 29979
item233          12080 21089
item234          4123 5982
item235          19115 8526
item236          2380 14482
item237          15861 27539
item238          6706 28235
item239          15779 17008
item240          4574 29364
item241          1587 3282
item242          24996 48975
item243          5143 40864
item244          4205 43184
item245          13931 23808
item246          3984 40997
item247          1279 36618
item248          14493 25398
item249          15523 28919
item250          2491 24570
item251          6809 10129
item252          3855 39146
item253          21262 45440
item254          12915 28240
item255          13514 16755
item256          21573 21017
item257          22265 39071
item258          1669 1504
item259          6716 6627
item260          17662 45759
item261          19835 40639
item262          14265 18569
item263          12341 46715
item264          14236 16368
item265          19967 23482
item266          3246 751
item267          2352 1808
item268          19041 9144
item269          15630 43040
item270          14360 42762
item271          15074 11537
item272          15499 18839
item273          1946 35586
item274          17291 35338
item275          11204 23651
item276          20432 7979
item277          19791 49027
item278          15094 3142
item279          20299 8375
item280          24228 31818
item281          6213 26541
item282          136 34742
item283          7356 19123
item284          14978 48865
item285          22382 4847
item286          13031 49280
item287          14367 28559
item288          12400 4452
item289          2058 36948
item290          23005 12421
item291          18990 20192
item292          1188 20544
item293          8970 26627
item294          2277 13672
item295          3027 24416
item296          5688 18101
item297          9292 17620
item298          20768 49726
item299          5112 38174
item300          5628 24497
item301          6208 9087
item302          2650 15002
item303          14922 48690
item304          6212 26302
item305          16995 25995
item306          4061 29675
item307          9691 26837
item308          11711 32153
item309          21880 20978
item310          6907 9749
item311          8667 39386
item312          22736 13809
item313          18040 45656
item314          11119 36905
item315          461 2291
item316          24812 28306
item317          8060 37304
item318          11641 5652
item319          575 42696
item320          14118 27220
item321          1415 26048
item322          22813 3610
item323          17661 6410
item324          14653 11673
item325          6249 11066
item326          16811 24659
item327          5809 5805
item328          19790 20892
item329          1141 36144
item330          11579 27873
item331          22810 32139
item332          11495 25505
item333          21594 14904
item334          14458 6024
item335          8916 44504
item336          20083 26522
item337          15437 8460
item338          160 4293
item339          22641 24496
item340          24477 29081
item341          13421 653
item342          23806 27040
item343          15330 6291
item344          9964 42797
item345          6951 18679
item346          17046 23621
item347          12617 31531
item348          22928 6906
item349          6698 35304
item350          14336 37979
item351          16936 19420
item352          23705 8209
item353          3319 6576
item354          15699 34003
item355          4404 35558
item356          16101 15302
item357          7348 47081
item358          22894 3049
item359          15758 43859
item360          14392 15719
item361          16085 36190
item362          6786 21059
item363          14273 17035
item364          9195 10561
item365          10806 14015
item366          14907 16798
item367          7629 18342
item368          14 29693
item369          22723 45061
item370          5945 25460
item371          17983 6480
item372          24491 38634
item373          4196 25044
item374          14527 4321
item375          7537 45515
item376          7110 39857
item377          3346 37367
item378          1900 42972
item379          17858 27306
item380          14329 30007
item381          24120 26320
item382          1375 1770
item383          16434 23741
item384          15864 16419
item385          8416 9664
item386          19405 11318
item387          226 32289
item388          24136 16463
item389          10999 25826
item390          4312 42028
item391          1768 34017
item392          15350 14401
item393          12357 21991
item394          7641 15498
item395          15936 48813
item396          15109 40465
item397          21766 8906
item398          8327 11757
item399          5102 12455
item400          14641 11023
item401          8364 41922
item402          13312 10060
item403          7807 32929
item404          6831 29763
item405          19923 11716
item406          13481 17954
item407          22358 45934
item408          3599 11906
item409          19035 12044
item410          7380 49032
item411          10179 1077
item412          12400 19070
item413          19339 34481
item414          4781 11582
item415          23086 12416
item416          8857 21176
item417          20598 21119
item418          22269 9738
item419          2919 8183
item420          7938 36687
item421          10237 15482
item422          11809 44243
item423          19492 34874
item424          21718 23409
item425          23775 49132
item426          16400 23058
item427          9327 45711
item428          24260 42647
item429          23098 47137
item430          21328 33593
item431          4068 36810
item432          24695 48568
item433          5688 27580
item434          7658 1110
item435          23637 7659
item436          20064 21943
item437          22231 35426
item438          23136 26777
item439          12852 27403
item440          8633 39741
item441          3322 47484
item442          21980 21195
item443          13832 11378
item444          2444 23118
item445          9556 17513
item446          4124 20059
item447          22747 32378
item448          19521 30382
item449          5427 10211
item450          13903 42647
item451          4196 41933
item452          18355 35664
item453          16095 31902
item454          10091 18037
item455          10275 37538
item456          18722 16350
item457          10898 13657
item458          918 10596
item459          5935 25545
item460          13472 249
item461          14145 32095
item462          20899 10323
item463          22669 14736
item464          24424 8710
item465          23029 8794
item466          22794 34517
item467          16794 28954
item468          2367 24461
item469          6912 42799
item470          8326 32569
item471          11604 33931
item472          23338 41347
item473          22877 15434
item474          18859 7739
item475          6872 25951
item476          3054 22038
item477          3455 35320
item478          24291 39211
item479          10733 41232
item480          13874 17835
item481          7291 16709
item482          20122 30833
item483          6914 8194
item484          18142 5163
item485          14079 17510
item486          5344 22349
item487          12969 32627
item488          23172 872
item489          7764 43013
item490          1629 15169
item491          16773 11879
item492          19612 22844
item493          22879 26011
item494          23591 33383
item495          4457 41042
item496          11320 14292
item497          5957 38817
item498          2679 27893
item499          12023 19863
item500          24124 24351
item501          11872 39048
item502          13395 28558
item503          18070 31908
item504          17148 23239
item505          3557 23596
item506          15589 5258
item507          16231 48529
item508          22125 31742
item509          21436 26822
item510          16047 39141
item511          5547 39185
item512          7801 7773
item513          6706 42977
item514          16157 4496
item515          9683 1878
item516          5526 30783
item517          3079 22050
item518          23807 6049
item519          11738 13122
item520          23515 1246
item521          19681 28263
item522          9124 47279
item523          15621 4821
item524          7019 42425
item525          3906 44213
item526          21150 7788
item527          6673 4785
item528          18733 7205
item529          11441 3514
item530          10663 10614
item531          20840 12498
item532          19721 2791
item533          7863 45746
item534          23988 30609
item535          15495 13379
item536          9720 43247
item537          11398 15255
item538          13144 9133
item539          6486 27268
item540          6210 30353
item541          19131 15238
item542          4923 6030
item543          18133 2845
item544          24233 38891
item545          11347 24517
item546          4049 1760
item547          1176 13297
item548          21514 45983
item549          17071 14984
item550          7723 39539
item551          4448 4660
item552          9072 35381
item553          12438 45332
item554          2708 11967
item555          21564 491
item556          11922 620
item557          21145 4443
item558          1730 33938
item559          23236 40475
item560          3060 45812
item561          1655 12514
item562          22792 5726
item563          15841 1213
item564          17166 19333
item565          16201 847
item566          16724 1821
item567          18024 34167
item568          11593 9178
item569          11907 14355
item570          15430 12656
